ins_id,nome,descricao
SCKLIT,KLABIN ITAJAI,SUB KLABIN ITAJAI SC
SCIDA1,INDAIAL PAPEL,SUB INDAIAL PAPEL E EMBALAGENS SC
SCMLER,MUELLER FOGO,SUB MUELLER FOGOES SC
SCDUQU,METAL DUQUE,SUB METALURGICA DUQUE UND JOINVILLE SC
SPPLTA,SHOP PATIO PA,SUB SHOPPING PATIO PAULISTA SP
RJPECA,PETRO CAJU,SUB PETROBRAS CAJU RJ
RJFSMA,SAO CONR F M,SUB COND SAO CONRADO FASHION MALL RJ
RSFRCH,CHESINI,SUB FRIGORIFICO CHESINI RS
GOMINT,MINEIROS,SUB MINEIROS GO
GOMVET,MORRO VERMELH,SUB MORRO VERMELHO GO
SPUCBP,COLOMBO PAL.,SUB COLOMBO - GERACAO LIQUIDA UTE COLOMBO PALESTIN SP
SPFEIX,FEIXOS,SUB FEIXOS - GERACAO LIQUIDA PCH FEIXOS SP
PRPALL,PALLADIUM,SUB SHOPPING PALLADIUM PR
CECCD,VOTOR. SOBRAL,SUB VOTORANTIM SOBRAL CE
CEPREM,CIA PREMIUM,SUB COMPANHIA BRASILEIRA DE BEBIDAS PREMIUM CE
RNATAL,NATAL CONDOM.,SUB NATAL SHOPPING CENTER CONDOMINIO 1 RN
MGAMBC,AMBEV CONT.,SUB AMBEV CONTAGEM MG
SPRPAC,RIO DO PARDO,SUB RIO DO PARDO PACK. IND. COM. PLASTICOS SP
SPTASA,TASA,SUB TASA TINTURARIA AMERICANA SP
MGDANO,DANONE POCOS,SUB DANONE POCOS DE CALDAS MG
MGLDNH,LADAINHA,USI CGH LADAINHA GERACAO LIQUIDA MG
SPRITA,RIETER TAUB.,SUB RIETER AUTOMOTIVE UND. TAUBATE SP
MGBMAR,BARBOSA E M.,SUB BARBOSA E MARQUES UND. GOVERNADOR VALADARES MG
MGPIIP,FAC.PITAGORAS,SUB FACULDADE PITAGORAS UND. IPATINGA MG
SPSGMT,SEGMENTA,SUB SEGMENTA FARMACEUTICA RP SP
SPCANG,CANATIVA G.,SUB TEXTIL CANATIVA GUAICURUS SP
SPWEID,WEIDMANN PIRA,SUB WEIDMANN PIRACICABA SP
SP3MIT,ITAPETININGA,SUB 3M ITAPETININGA SP
MGBGLY,BAGLEY BH,SUB BAGLEY DO BRASIL ALIMENTOS BH MG
SPCPX1,CIPATEX 1,SUB CIPATEX TECIDOS SP
SPCPX2,CIPATEX II,SUB CIPATEX SINTETICOS II SP
SPCPX3,CIPATEX III,SUB CIPATEX SINTETICOS III SP
SPDCIP,DUPONTCIPATEX,SUB DUPONT CIPATEX CERQUILHO SP
MGEXTE,REXAN EXTREMA,SUB REXAN DO BRASIL EXTREMA MG
ESSGR1,GAROTO 1,SUB GAROTO 1 ES
RJPIMB,PETR.IMBETIBA,SUB PETROBRAS UND. IMBETIBA RJ
SPTTIR,TEXTIL IRINEU,SUB TEXTIL IRINEU MENEGHEL SP
MGPTBO,PLASTUBOS,SUB PLASTUBOS RIBEIRAO DAS NEVES MG
MGPIBH,PITAGORAS BH,SUB FACULDADE PITAGORAS UND. BELO HORIZONTE MG
MGAL08,ALM VZEU 08,SUB GALVANI ALM VZEU 08 LAGAMAR MG
MGPIBT,PITAGORAS BET,SUB FACULDADE PITAGORAS UND. BETIM MG
SPROTH,ROTHOPLAS,SUB ROTHOPLAS IND E COM DE EMBALAGENS SP
BATEFS,TELEMAR FEIRA,SUB TELEMAR FEIRA DE SANTANA BA
BATEIB,TELEMAR IMBUI,SUB TELEMAR IMBUI ENTRADA BA
SPTTWA,TEXTILWALFRAN,SUB TEXTIL WALFRAN MENEGHEL SP
MTUPAR,PCH PARECIS,USI PCH PARECIS MT
MTURON,PCH RONDON,USI PCH RONDON MT
MTUTEL,TELEGRAFICA,USI PCH TELEGRAFICA MT
MTUSAP,PCH SAPEZAL,USI PCH SAPEZAL MT
MTUCID,PCH CIDEZAL,USI PCH CIDEZAL MT
GOTQR1,SE.T.QUIRINOP,SUB TERMICA QUIRINOPOLIS GO
GOUBV,UTE BOA VISTA,USI UTE BOA VISTA GO
PBUTN,TERMONORDESTE,USI UTE TERMONORDESTE PB
PBUTP,TERMOPARAIBA,USI UTE TERMOPARAIBA PB
PBEPA,EPASA,SUB EPASA PB
SPSAJ3,SAO JOAO,SUB SAO JOAO SP
RNALG,ALEGRIA,SUB ALEGRIA RN
MAUTPI,UT.POR.ITAQUI,USI UTE PORTO DO ITAQUI MA
SPSAL2,SAO LUIZ,SUB SAO LUIZ SP
SPCDD,CATANDUVA II,USI CATANDUVA II SP
SPRSSL,ROUSSELOT AMP,SUB ROUSSELOT GELATINAS DO BRASIL - AMPARO SP
RSNICO,FRIG NICOLINI,SUB FRIGORIFICO NICOLINI RS
SERIAC,LOJ RIACHUELO,SUB LOJAS RIACHUELO SE
MTTBMR,TBM RONDONOP.,SUB TBM TEXTIL IND. E COM. RONDONOPOLIS MT
RJPESU,PETRO.SULACAP,SUB PETROBRAS - SULACAP RJ
MGSGDO,SAO GERALDO,SUB FIACAO E TECELAGEM SAO GERALDO MG
SPROSS,ROUSSELOT BRA,SUB ROUSSELOT GELATINAS DO BRASIL SP
SPBGE1,BUNGE I,USI BUNGE I - GERACAO LIQUIDA UTE CUBATAO SP
RSCAAG,C.A. ALEGRETE,USI COOP. AGRO. ALEGRETE - GERACAO LIQUIDA RS
RSSAZI,MAQUINAS SAZI,SUB MAQUINAS SAZI RS
SPSL13,SH LARGO XIII,SUB SHOPPING LARGO XIII SP
SCPCHE,PCH PACHECO,USI CONEXAO PCH PACHECO - GERACAO LIQUIDA SC
RNREAL,REAL COM. BEB,SUB REAL COMERCIO DE BEBIDAS RN
SPSAOC,S.CARLOS IND,SUB SAO CARLOS IND PAPEL E EMBALAGEM SP
SPKLJU,KLABINJUNDIAI,SUB KLABIN UND. JUNDIAI SP
SPKLTP,KLABIN T.PRET,SUB KLABIN UND. TIJUCO PRETO SP
SPCBAR,CBD ARICANDUV,SUB CBD EXTRA ARICANDUVA SP
SPCACV,CBD CASAVERDE,SUB CBD PAO DE ACUCAR CASA VERDE SP
SPCECC,CECC ENTRADA1,SUB CECC ENTRADA 1 SP
PRSEME,MARGEM ESQ.,SUB MARGEM ESQUERDA SERV. AUX. PR
RJCTRA,COLETORA,USI COLETORA GERACAO TOTAL PCH CAJU + PCH SAO SEB. RJ
RJCAJU,PCH CAJU,SUB PCH CAJU RJ
SPHICP,HELPTECH PLAS,SUB HELPTECH IND E COM DE PLASTICOS SP
RNASAU,NASSAU,SUB ITAPETINGA CIMENTO NASSAU RN
SPCXP1,CONTAX PAUL 1,SUB TNL CONTAX - PAULISTA I SP
SPCXP2,CONTAX PAUL 2,SUB TNL CONTAX - PAULISTA II SP
SPCXLP,CONTAX LAPA,SUB TNL CONTAX - LAPA SP
SPCXIN,CONTAX INHAUM,SUB TNL CONTAX - INHAUMA SP
SPNERP,NESTLE R.PRET,SUB NESTLE - RIBEIRAO PRETO SP
SPITPL,INT. PLASTICS,SUB INTERNATIONAL PLASTICS - BOITUVA SP
RNETD,EXTREMOZ II,SUB EXTREMOZ II RN
RNJCD,JOAO CAMARA 2,SUB JOAO CAMARA 2 RN
BAIGD,IGAPORA II,SUB IGAPORA II BA
SPNEMA,NESTLEMARILIA,SUB NESTLE UND. MARILIA SP
SPKLPI,KLABIN PIRACI,SUB KLABIN PIRACICABA SP
SPGKNM,GKN S. METALS,SUB GKN SINTER METALS SP
TOSHCD,SHOP CAPIM D.,SUB SHOPPING CAPIM DOURADO TO
SPWEPL,WEST PLAZA SH,SUB WEST PLAZA SHOPPING SP
CEVLCA,VULCABRAS NE,SUB VULCABRAS DO NORDESTE CE
SPAPOD,CIMENTO APODI,SUB CIA IND CIMENTO APODI SP
SPTOPT,TRANS.OPTICAL,SUB TRANSITIONS OPTICAL DO BRASIL SP
MGSIPC,SIPCAM ISAGRO,SUB SIPCAM ISAGRO BRASIL - UBERABA MG
MGMCCA,MAR. APARECID,SUB MARTINS COMERCIO E SERVICO DE DISTRIBUICAO - C MG
MGMCDD,MARTINS DI 2,SUB MARTINS COMERCIO E SERVICO DE DISTRIBUICAO - D MG
MGMCDT,MARTINS DI 3,SUB MARTINS COMERCIO E SERVICO DE DISTRIBUICAO - D MG
SPPEBR,PERNAMB.BAURU,SUB CASAS PERNAMBUCANAS UND. BAURU SP
SPPECP,PERN.CAMOINAS,SUB CASAS PERNAMBUCANAS - UND. CAMOINAS SP
