ins_id,nome,descricao
PBUCG,UT.CAM.GRANDE,USI CAMPINA GRANDE PB
MTATAQ,ALTO TAQUARI,USI UTE ALTO TAQUARI MT
GOMVER,MORR.VERMELHO,USI UTE MORRO VERMELHO GO
GOAEME,AGUA EMENDADA,USI UTE AGUA EMENDADA GO
SPQUE1,PCH QUELUZ,USI PCH QUELUZ SP
RSSCH2,SCHARLAU 2,SUB SCHARLAU 2 RS
ESUTLI,LUIZ O R MELO,USI UTE LUIZ OSCAR RODRIGUES DE MELO ES
MSSLU2,SANTA LUZIA 2,SUB SANTA LUZIA II MS
RSCDL2,CANDELARIA 2,SUB CANDELARIA 2 RS
PRUMU2,UMUARAMA SUL,SUB UMUARAMA SUL PR
PABM,BELO MONTE,USI BELO MONTE PA
MGSLA4,SETE LAGOAS 4,SUB SETE LAGOAS 4 MG
PEMFDS,MASTERFOODS,SUB MASTERFOODS - ENTRADA 1 PE
RNGMR,GUAMARE,SUB GUAMARE RN
SCIBR,IBIRAMA,SUB IBIRAMA SC
PERCSR,RIAC SHOP REC,SUB LOJAS RIACHUELO SHOPPING RECIFE PE
SPCPJA,CPTM JANDIRA,SUB CPTM JANDIRA SP
SPUNIP,UNIPAC EMBAL.,SUB UNIPAC EMBALAGENS SP
SPMDPL,MD PAPEIS LIM,SUB MD PAPEIS LIMEIRA SP
MGITAM,ITAMINAS,SUB ITAMINAS COMERCIO DE MINERIO MG
SPFRPE,FRIBOI PR EPI,SUB JBS FRIBOI PRESIDENTE EPITACIO SP
PRSTTL,SHOPPINGTOTAL,SUB SHOPPING TOTAL PR
SPMFG2,MARFRIG 2,SUB MARFRIG 2 CERPRO SP
MTFRAF,FRIBOI A FLO,SUB FRIBOI ALTA FLORESTA MT
SCBRFL,BR FOODSLAGES,SUB BRASIL FOODS LAGES SC
SPBOT2,AGUA BRANCA,SUB AGUA BRANCA BOITUVA 2 SP
PEPTRC,CER. P. RICO,SUB CERAMICA PORTO RICO PE
RSCAGR,CF GRAVATAI,SUB CARREFOUR - GRAVATAI RS
MGASJA,UTE ASJA BH,USI UTE ASJA BH MG
MGRIBT,RIETER BETIM,SUB RIETER AUTOMOTIVE UNIDADE BETIM MG
MGSGFL,MATEUS LEME,SUB MATEUS LEME MG
CEFRCE,FRIOCEARA,SUB FRIOCEARA ARMAZENS FRIGORIFICOS CE
MTMMPN,MM PONTE NOVA,SUB MERCADO MODELO PONTE NOVA MT
RJLUM,LUMIAR TERES.,SUB LUMIAR - LT TERESOPOLIS RJ
MTMMPS,MM PANTANAL S,SUB MERCADO MODELO PANTANAL SHOPPING MT
SPFMSA,FEMSA CC JUN.,SUB FEMSA COCA-COLA JUNDIAI SP
RSPRLI,PIRELLI PNEUS,SUB PIRELLI PNEUS RS
RJYLID,DER LIDICE RC,SUB VACAO DA LT LIDICE E CLARO RJ
RSBRAG,CGH BRAGA,USI CGH BRAGA RS
RSCBEV,CGH C BEVILAC,USI CGH CARLOS BEVILACQUA RS
RSCTBA,CGH C BARREIR,USI CGH CASCATA DO BARREIRO RS
RSMOIN,CGH MOINHO,USI CGH MOINHO RS
RSRFOR,CGH R FORTALE,USI CGH RIO FORTALEZA RS
RSGRVL,CGH GRANJA VE,USI CGH GRANJA VELHA RS
MGGEEL,GEN ELECTRIC,SUB GENERAL ELECTRIC MG
RJPEPC,PB PRAIA CAMP,SUB PETROBRAS - PRAIA CAMPISTA RJ
RJPMAC,PLAZA MACAE,SUB CONDOMINIO PLAZA - MACAE RJ
GOJUN,JUNDIAI,SUB JUNDIAI GO
GOPAC,PACAEMBU,SUB PACAEMBU GO
MGPDRE,CGH DO PADRE,USI CGH DO PADRE MG
MTBFNM,BR FOODS NM,SUB BRASIL FOODS NOVA MUTUM MT
MTFRAB,FRIBOI AGUA B,SUB FRIBOI AGUA BOA MT
RJPIB2,PB IMBOASSICA,SUB PETROBRAS UND.2 IMBOASSICA RJ
RJPIM2,PB IMBETIBA,SUB PETROBRAS UND.2 IMBETIBA RJ
SPBTV2,BOITUVA 2,SUB BOITUVA 2 SP
SPFLEX,FLEXTRONICS,SUB FLEXTRONICS SP
DFSEMG,MANGUEIRAL,SUB MANGUEIRAL DF
MSUSL,SANTA LUZIA I,USI UTE SANTA LUZIA I MS
RSUECI,EOL CIDREIRA1,USI EOL CIDREIRA I RS
SPIAC,IACANGA,SUB IACANGA NOVA SP
SPBRI,BARIRI CPFL,SUB BARIRI NOVA SP
PRASA,ASSAI,SUB ASSAI PR
PRFCH,PCH F.CHOPIM,USI PCH FOZ DO CHOPIM ENERGETICA PR
PRSCV,SAO CRISTOVAO,SUB SAO CRISTOVAO PR
RSIBI,IBIRUBA,SUB IBIRUBA RS
SPTXTM,TEXTIL S MANU,SUB TEXTIL ITATIBA - SAO MANUEL SP
RSSLT,VINHOS SALTON,SUB VINHOS SALTON RS
SPPACM,P.ACUCAR MONC,SUB PAO DE ACUCAR CIDADE MONCOES SP
SPPAVC,P.AC.VILA CLE,SUB PAO DE ACUCAR - VILA CLEMENTINO SP
SPDEPR,DELPHI PIRACI,SUB DELPHI - PIRACICABA SP
SPTXTI,TEXTIL ITATIB,SUB TEXTIL ITATIBA - ITATIBA SP
SCCOQL,COQUEIRAL,SUB COQUEIRAL SC
SCRIGB,RIGESA BLUMEN,SUB RIGESA - BLUMENAL SC
BABBF1,B BEKAERT FEI,SUB BELGO BEKAERT I - FEIRA DE SANTANA BA
BAJMMA,J MACEDO MASS,SUB J MACEDO MASSAS BA
MSFRCG,FRIBOI CG,SUB FRIBOI - CAMPO GRANDE MS
MSMFBA,MARFRIG BATAG,SUB RIG - BATAGUASSU MS
PERCBV,RIACHUELO BV,SUB RIACHUELO - BOA VISTA PE
SCGRP,GUARARAPES,SUB GUARARAPES SC
SENSDR,NOSSA SRA DOR,SUB NOSSA SENHORA DAS DORES SE
SPEMC,EMBRAMACO,SUB EMBRAMACO SP
SPLRJD,LARANJA DOCE,SUB CGH LARANJA DOCE SP
SPQUA,CGH QUATIARA,SUB CGH QUATIARA SP
SPPARI,CGH PARI,SUB CGH PARI SP
MGJAPI,COMPLEXO JAPI,SUB COMPLEXO JAPI - COOXUPE MG
MGPTLS,PONTEIO LAR S,SUB PONTEIO LAR SHOPPING MG
MGATBR,ALTO BREJAUBA,SUB CGH ALTO BREJAUBA MG
MGBREJ,CGH BREJAUBA,SUB CGH BREJAUBA MG
MGBRJB,BREJAUBA,SUB BREJAUBA MG
MTJBSJ,JBS JUARA,SUB JBS FRIBOI - JUARA MT
RSBRF,BRASIL FOODS,SUB BRASIL FOODS RS
RSCML,COMIL,SUB COMIL RS
SPCDPP,COND PAN PARK,SUB CONDOMINIO PANAMERICA PARK SP
CESCHR,SCHINCARIOL H,SUB SCHINCARIOL - HORIZONTE CE
SPPALM,PCH PALMEIRAS,USI PCH PALMEIRAS SP
RSNILO,NILO BONFANTI,USI CGH NILO BONFANTI RS
CEFIOT,FIOTEX MARACA,SUB FIOTEX - MARACANAU CE
RSMBLC,MABELLA CAXIA,SUB FRIGORIFICO MABELLA - CAXIAS RS
SCTCON,TECON ITAPOA,SUB TECON - ITAPOA SC
SCWEJO,WETZEL JOINVI,SUB WETZEL - JOINVILLE SC
RSFNAR,FR NOVA ARACA,SUB FRIGORIFICO NOVA ARACA RS
SPFERK,FERKODA,SUB FERKODA SP
RSYGTP,MARCO BALDO,USI PCH MARCO BALDO RS
RSLAQ,LAGOA DO QUIN,SUB LAGOA DO QUINTAO RS
SCVOI,VOT IMBITUBA,SUB VOTORANTIM - IMBITUBA SC
SCVOVR,VOT VIDAL RAM,SUB VOTORANTIM - VIDAL RAMOS SC
SPTYTI,TOY INDAIATUB,SUB TOYOTA INDAIATUBA SP
SPSOGE,SOGERI FILTRA,SUB SOGERI FILTRATION SP
MGVAR,VARGINHA,SUB VARGINHA MG
SCOICA,OI CAPOEIRAS,SUB OI - CAPOEIRAS SC
SCRPXU,RIO DO PEIXE,USI CGH RIO DO PEIXE SC
SCMENF,MENEGOTTI FUN,SUB MENEGOTTI FUNDICAO SC
SCMBIT,FRIG MAB ITAP,SUB FRIGORIFICO MABELLA - ITAPIRANGA SC
RSALFN,ALIBEM FENNER,SUB ALIBEM FENNER RS
PBCND,CONDE,USI CONDE PB
MGFRIT,FRIBOI ITURAM,SUB FRIBOI - ITURAMA MG
SPBAIN,BASF INDAIATU,SUB BASF - INDAIATUBA SP
SPCNTV,CONT V PAULIS,SUB CONTINENTAL - VARZEA PAULISTA SP
MGGPTL,PONTEIO LAR S,SUB PONTEIO LAR SHOPPING MG
SPNESJ,NESTLE SJ RP,SUB NESTLE - SAO JOSE DO RIO PARDO SP
MTBFMO,BR FOODS MIRA,SUB BRASIL FOODS - MIRASSOL DOESTE MT
CEUJA,UTE J.ALENCAR,USI UTE JOSE DE ALENCAR CE
SPPOCO,POLIMIX,SUB ETC POLIMIX CONCRETO SP
SPCOMZ,CORRADIMAZZER,SUB CORRADI MAZZER TIETE SP
SPCEA,CEU AZUL,SUB CEU AZUL SP
SPREXS,REXAM SOROCAB,SUB REXAM SOROCABA SP
SPREXD,REXAM JUNDIAI,SUB REXAM JUNDIAI SP
RJBNDS,COND BNDES,SUB CONDOMINIO BNDES RJ
MTMFTS,MARFRIG T SER,SUB MARFRIG TANGARA DA SERRA MT
CEUTX,UNITEXTIL,SUB UNITEXTIL CE
RSFNAA,FRIG N ARACA,SUB FRIGORIFICO NOVA ARACA AVES RS
RJEDIO,EDIOURO,SUB EDIOURO RJ
ESSM05,SAO MATEUS 05,SUB UTE ALCON - ALIMENTADOR SAO MATEUS 05 ES
MGSBDE,SBDE,SUB SOCIEDADE BRASILEIRA DE EMBALAGENS E DESCARTAV MG
MGICFR,INCOMFRAL,SUB INCOMFRAL MG
PEVIRL,VITARELLA PRA,SUB VITARELLA PRAZERES - JABOATAO DOS GUARARAPES PE
CEBEB,BEBERIBE,SUB BEBERIBE GERACAO LIQUIDA C. EOLICA PRAIAS DE P CE
RSECZS,ENCRUZ DO SUL,SUB ENCRUZILHADA DO SUL ALIM 04 IRAPUAZINHO RS
MTBUNM,BUNGE N MUTUM,SUB BUNGE ALIMENTOS NOVA MUTUM MT
MGREOB,REOBOTE BH,SUB REOBOTE RECUPERACAO DE UTENSILIOS PLASTICOS - MG
MGFORN,FORNAC,SUB FORNAC - UNIDADE SARZEDO MG
MGAFSL,AUTO FORJAS,SUB AUTO FORJAS LTDA - SETE LAGOAS MG
SCYTJE,DERIV. LT TIJ,SUB DERIVACAO LT TIJUCAS - R. ENGANO SC
SCSEIT,SEARA ITAPIRA,SUB SEARA ITAPIRANGA SC
MGPGU2,PARAGUACU,SUB PARAGUACU TEXTIL ALIM. PGCU 06F4 MG
MGTEPB,TEAR PARAOPEB,SUB TEAR TEXTIL UNIDADE PARAOPEBA MG
MGMMX,MMX MINA IPE,SUB MMX MINERACAO E METALICOS - MINA DO IPE MG
RJTCPA,TNL C PASSEIO,SUB TNL CONTAX PASSEIO RJ
RJCERS,COND RIO SUL,SUB CONDOMINIO DO EDIFICIO RIO SUL CENTER RJ
RJPEET,PETROBRAS EDI,SUB PETROBRAS EDITA RJ
SPEBSA,EMBRASA,SUB EMBRASA EMBALAGEM BRASILEIRA SP
SPEBTC,EMBRASATEC,SUB EMBRASATEC IND. E COM. TEXTIL SP
SPSTSP,SANTANDER SP,SUB BANCO SANTANDER TORRE SAO PAULO SP
PETVEX,TAVEX BRASIL,SUB TAVEX BRASIL PAULISTA PE
CETETC,TELEMARCAMARA,SUB OI TELEMAR TORRES CAMARA CE
ALSHPM,SH PATIO MAC.,SUB SHOPPING PATIO MACEIO AL
RSBLPC,BALAS PECCIN,SUB BALAS PECCIN S. A. RS
SPFNSP,FAB N S PENHA,SUB FABRICA DE PAPEL E PAPELAO NOSSA SENHORA PENHA SP
SPPPGI,PPG INDUSTRIA,SUB PPG INDUSTRIAL SP
CEGRCT,GRENDENE CRAT,SUB GRENDENE CRATO CE
CEGRFT,GRENDENE FORT,SUB GRENDENE FORTALEZA CE
CEGRSB,GRENDENE SOBR,SUB GRENDENE SOBRAL CE
RJCXRC,CONTAX RIO C,SUB CONTAX RIO COMPRIDO RJ
MTIUNI,IUNI CUIABA SUB,SUB IUNI CUIABA MT
RSMARC,INST. SAO MAR,SUB INSTALADORA SAO MARCOS RS
MGMTSR,METALSIDER,USI METALSIDER MG
SCIDMA,INDUMA - TAIO,SUB INDUMA - TAIO SC
SPRCL2,RICLAN UNID.2,SUB RICLAN UNIDADE 2 SP
SPCSI,CSI,SUB CSI - CLOSURE SISTEM INTERNACIONAL SP
SPBEHE,BEL HERCULAND,SUB BEL HERCULANDIA SP
SCFSBE,FIACAO SAO BS,SUB FIACAO SAO BENTO DO SUL SC
SCWEGB,WEG BLUMENAU,SUB WEG BLUMENAU SC
SPBAL,UTE BALDIN,USI BALDIN SP
GOANGL,ANGLO BARRO A,SUB ANGLO AMERICAN - BARRO ALTO GO
MGREXT,REXAM EXTREMA,SUB REXAM DO BRASIL - EXTREMA MG
SPTEMP,MULT TEMPERA,SUB MULT TEMPERA COAT TRAT TERMICO E SUPERFICIAL SP
RSSBSS,SULBRAS SAPUC,SUB SULBRAS SAPUCAIA DO SUL RS
BASYK,SYKUE,USI SYKUE BA
RSBEPO,BEPO,SUB BEPO - INSTALADORA SAO MARCOS - MONTENEGRO RS
SPCXAL,CONTAX ALEGRI,SUB TNL CONTAX ALEGRIA SP
RJTUD,TUDELANDIA,USI PCH TUDELANDIA RJ
GOUNA,NOVA AURORA,USI NOVA AURORA GO
GOIPA,IPAMERI,USI IPAMERI GO
GOUFRC,UHE FOZ RC,USI UHE FOZ DO RIO CLARO GO
MGPTGS,CGH PITANGAS,USI CGH PITANGAS MG
SPUBAT,BATISTA,SUB BATISTA SP
RJCPET,CERVEJ. PETRO,SUB CERVEJARIA PETROPOLIS RJ
SPNTPL,NORTENE PLAST,SUB NORTENE PLASTICO SP
SPSCJ,SH CID JARDIM,SUB SHOPPING CIDADE JARDIM SP
RJPESE,PETR SEVERINA,SUB PETROBRAS SEVERINA RJ
SCCSER,CISER JOINVIL,SUB CISER JOINVILLE SC
SCMTFY,METALURG. FEY,SUB METALURGICA FEY SC
RJTENT,TELEM.NITEROI,SUB TELEMAR NITEROI CENTRO RJ
MTDES,CGH DESIDERIO,USI CGH DESIDERIO MT
RJDIX,DIX,SUB DIX EMPREENDIMENTOS IMOBILIARIOS RJ
SPGREI,GREIF S AMARO,SUB GREIF SANTO AMARO SP
RJEDIS,PETROBR EDISE,USI PETROBRAS - EDISE RJ
MGMREY,TEC MINAS REY,SUB TECELAGEM MINAS REY ITAUNA MG
MGESGO,ESTAM GOUVEIA,SUB ESTAMPARIA GOUVEIA MG
SCSCTV,SAO CRISTOVAO,USI SAO CRISTOVAO SC
SCBOSS,BOSSARDI,USI BOSSARDI SC
SCIDML,INVERNADA MUL,USI INVERNADA DAS MULAS SC
MGSCN,CGH S CLEONIC,USI CGH SANTA CLEONICE MG
SCBRFD,BR F VIDEIRA,SUB BRASIL FOODS VIDEIRA SC
SPCAPF,CARGILL P FER,SUB CARGILL PORTO FERREIRA SP
SPVOCJ,VOTOR CAJAMAR,SUB VOTORANTIM CIMENTOS SA UNIDADE CAJAMAR SP
RSVON,VONPAR,SUB VONPAR RS
SCABA,AQUIBATA,SUB AQUIBATA SC
SPABAC,ABAT. CALIFOR,SUB ABATEDOURO DE AVES CALIFORNIA PIRANGI SP
MGAGAS,ANGLOGOLD CSM,SUB ANGLOGOLD ASHANTI CSM MG
SCAIRA,PCHALTO IRANI,SUB PCH ALTO IRANI SC
SPAMSD,AMSTED MAXION,SUB AMSTED MAXION SP
SPAPPL,AMCOR PET PAC,AMCOR PET PACKING DO BRASIL - LOUVEIRA
BAARP,AREMBEPE,SUB AREMBEPE BA
SPATCM,AUTOCAM DO BR,SUB AUTOCAM DO BRASIL USINAGEM SAO JOAO DA BOA VIS SP
SPBATI,PCH BATISTA,USI BATISTA SP
SPBFM,UTE BONFIM,USI UTE BONFIM SP
SCBJDM,BOM JARDIM,SUB BOM JARDIM SC
SPBKPP,BRASKEMP PAUL,SUB BRASKEM PETROQUIMICA PAULINIA SP
MGBMST,BOMBRIL S LAG,SUB BOMBRIL SETE LAGOAS MG
MGBPC,B. PACIENCIA,USI PCH BARRA DA PACIENCIA MG
SCBRN,BRACO DO NORT,USI BRACO DO NORTE SC
PECABV,CAR. B VIAGEM,SUB CARREFOUR - BOA VIAGEM PE
PECADF,CAR D FERREIR,SUB CARREFOUR - DOMINGOS FERREIRA PE
SPCAIC,CEA IGUAT CAM,SUB CEA SHOPPING IGUATEMI CAMPINAS SP
SPCAJS,CEA JUNDIAI,SUB CEA MAXI SHOPPING JUNDIAI SP
SPCAPS,CAR RIB PRETO,SUB CARREFOUR RIBEIRAO PRETO SHOPPING SP
SPCARC,CEA R PR CALI,SUB CEA SHOPPING RIBEIRAO PRETO - JARDIM CALIFORNI SP
SPCARI,CEA REIBEIRAN,SUB CEA NOVO SHOPPING RIBEIRAO PRETO - JARDIM REIB SP
SPUIPA,UTE IPAUSSU,USI UTE IPAUSSU SP
SPCASC,CAR S CAETANO,SUB CARREFOUR SAO CAETANO DO SUL SP
SPCASR,CEA RIO PRETO,SUB CEA RIO PRETO SHOPPING - SAO JOSE DO RIO PRETO SP
SPCASV,CAR S VICENTE,SUB CARREFOUR SAO VICENTE SP
PECATR,CARREF. TORRE,SUB CARREFOUR - TORRE PE
SPCBRP,CBD RIB PR,SUB CBD EXTRA RIBEIRAO PRETO SP
RSCCH,CERRO CHATO,SUB CERRO CHATO RS
SPCCSL,CCS TEC LIMEI,SUB CCS TECNOLOGIA E SERVICOS - LIMEIRA SP
ACBJ,BELO JARDIM,USI UTE BELO JARDIM AC
MGCFBL,CAR.BOULEVARD,SUB CARREFOUR BOULEVARD MG
RJCFSL,CAR.BRIG L S,SUB CARREFOUR BRIG LIMA SILVA - DUQUE DE CAXIAS RJ
RSCLA,CERRO LARGO,SUB CERRO LARGO UHE SAO JOSE RS
MTCOC,LT COCALINHO,SUB LT COCALINHO ARUANA DIVISA DE ESTADO MT
SCCOLE,COLETORA,USI COLETORA SC
SPCTPN,CATU PIONEIRO,SUB CATU PIONEIROS SP
MGCTPS,TERRA PQ SHOP,SUB CONDOMINIO DO TERRA PARQUE SHOPPING MG
MSELDO,ELDORADO ELK,SUB ELDORADO CELULOSE E PAPEL TRES LAGOAS MS
MGESCO,ESTAMPAR. CTG,SUB ESTAMPARIA CONTAGEM MG
RJETIG,ESTACIO I GOV,SUB ESTACIO - ILHA DO GOVERNADOR RJ
RJETNI,ESTACIO N IGU,SUB ESTACIO - NOVA IGUACU RJ
RJETRB,ESTACIO REBOU,SUB ESTACIO - REBOUCAS RJ
SPFBBO,FIBERBUS BOTU,SUB FIBERBUS LTDA BOTUCATU SP
SPFRBB,FRIBOI BARRET,SUB FRIBOI BARRETOS SP
ESFZCH,FOZ DE CACHOE,SUB FOZ DE CACHOEIRO ES
RSECC1,CERRO CHATO I,USI EOL CERRO CHATO I RS
RSECC2,CERROCHATO II,USI EOL CERRO CHATO II RS
RSECC3,CERROCHATOIII,USI EOL CERRO CHATO III RS
SCAHG,ARAQ.HYOSUNG,SUB ARAQUARI-HYOSUNG SC
PEGRVT,EOL GRAVATA,USI EOLICA GRAVATA PE
SCIBRM,IBRAME,SUB IBRAME SC
SPINAM,INVISTA AMER.,SUB INVISTA AMERICANA SP
SPITTA,ITAU TATUAPE,SUB BANCO ITAU TATUAPE SP
MTJBSC,JBS CUIABA,SUB JBS FRIBOI CUIABA MT
SCKRJO,KRONA JOINVIL,SUB KRONA INDUSTRIA DE PLASTICO LTDA - JOINVILE SC
SPLXS,UTE LANXESS,USI UTE LANXESS SP
MSMFPM,MARFRIG PORTO,SUB MARFRIG PORTO MURTINHO MS
MTMFPT,MARFRIG PARAN,SUB MARFRIG SA - PARANATINGA MT
SPMGBI,UTE MOGIANA B,USI UTE MOGIANA BIOENERGIA SP
MGMNSH,MINAS SHOPPIN,SUB MINAS SHOPPING MG
PAMOP,MINER. ONCA P,SUB MINERADORA ONCA PUMA PA
RJNEBR,NESTLE BRASIL,SUB NESTLE BRASIL RJ
SPOLMN,OLEOS MENU,SUB OLEOS MENU IND. E COM. SP
MGOLV,PCH OLIVEIRA,USI PCH OLIVEIRA MG
SPPEA0,PETRO ATIBAIA,SUB PETROBRAS - ATIBAIA SP
SPPLST,PLASTEST,SUB PLASTEST INDUSTRIA E COMERCIO DE PLASTICOS SP
MGPRPT,PIRAPETINGA,SUB PIRAPETINGA - ALIM. MG
RJPTED,PETROB EDICIN,SUB PETROBRAS - EDICIN RJ
MARCSL,RIAC SAO LUIZ,SUB RIACHUELO LOJA 85 - SAO LUIZ MA
CERIGU,RIAC IGUATEMI,SUB RIACHUELO IGUATEMI CE
CERINH,RIAC. NORTH,SUB RIACHUELO NORTH CE
MTRMVG,REFR. MARAJA,SUB REFRIGERANTES MARAJA - VARZEA GRANDE MT
MGSDPT,UTE SIDERPITA,USI UTE SIDERPITA MG
MGSEL,SELECTA,USI SEMENTES SELECTA MG
RJSISR,STA ISABEL RP,SUB SANTA ISABEL RIO PRETO RJ
PASN,SERRA NORTE,SUB SERRA NORTE PA
SPSSPI,SECCIONAD PIO,SUB SECCIONADORA PIONEIROS SP
SPTEMG,TERMAG GUARUJ,SUB TERMAG GUARUJA SP
PETNPE,TNL CTX PRINC,SUB TNL CONTAX PRINCIPE PE
RSTPR1,TAPERA 1,SUB TAPERA 1 RS
SPTQB,TAQUARITUBA,SUB TAQUARITUBA SP
PRTUN,TUNAS,USI TUNAS PR
RSTUP,TUPANCIRETA,SUB TUPANCIRETA RS
MGUMC1,USIMINAS CAB1,SUB USIMINAS - MINA CENTRAL - CABINE 1 MG
MGUMC2,USIMINAS CAB2,SUB USIMINAS - MINA CENTRAL - CABINE 2 MG
MGUMNL,USIMINAS LEST,SUB USIMINAS - MINA LESTE MG
MGUMNO,USIMINAS OEST,SUB USIMINAS - MINA OESTE MG
MGUMNS,USIMINAS SEDE,SUB USIMINAS - SEDE MG
MGUNB,PCH UNAI BAIX,USI PCH UNAI BAIXO MG
PEUNII,UNI. IGARASSU,SUB UNILEVER IGARASSU PE
SPWMCB,W.M.COPEBRAS,SUB WHITE MARTINS COPEBRAS SP
SPWMPG,W.M.PICAGUERA,SUB WHITE MARTINS PICAGUERA SP
MGITB4,ITABIRA 4,SUB ITABIRA 4 MG
BABMC,BROTAS.MACAUBAS,SUB BROTAS DE MACAUBAS BA
BAEMCB,BMC_MACAUBAS,USI BMC_MACAUBAS BA
BAESBR,BMC_SEABRA,USI BMC_SEABRA BA
BAENHZ,BMC_NOVO HORIZO,USI BMC_NOVO HORIZONTE BA
PEUTSD,UTE SUAPE II,USI SUAPE II PE
MGBETC,BETIM 5,SUB BETIM 5 MG
SPDCSA,UT DECASA,USI UTE DECASA SP
MGYPRS,DER.PARA DE M,SUB DERIVACAO AL PRSD-206 SE PARA DE MINAS MG
RNJCT,J. CAMARA III,SUB JOAO CAMARA III RN
RNCMM,CEARA MIRIM 2,SUB CEARA MIRIM 2 RN
RNLND,LAGOA NOVA II,SUB LAGOA NOVA II RN
CEIBD,IBIAPINA II,SUB IBIAPINA II CE
BAMPD,MORRO CHAPEU II,SUB MORRO DO CHAPEU II BA
ALRCSM,RIA SH MACEIO,SUB RIACHUELO - SHOPPING MACEIO AL
BABMA,B.DE MACAUBAS,SUB COLETORA BROTAS DE MACAUBAS BA
BACASP,CEA SH PIEDAD,SUB CEA SHOPPING PIEDADE BA
BAPA11,COLETO PEA1.1,SUB COLETORA PEA 1.1 BA
BAPA12,COLETO PEA1.2,SUB COLETORA PEA 1.2 BA
BAPA13,COLETO PEA1.3,SUB COLETORA PEA 1.3 BA
BAPEA6,COLETORA,SUB COLETORA PEA6 BA
BAPEA8,COLETORA PEA8,SUB COLETORA PEA 8 BA
BAYESP,DER ESPINOSA,SUB PMF1 - DERIVACAO DO ALIMENTADOR 08F4 DA SE ESP BA
CEMCSA,MECESA,SUB MECESA (METALGRAFICA CEARENSE) CE
CEMXTA,MPX TAUA,SUB MPX TAUA CE
CEVTSB,VOTOR SOBRAL,SUB VOTORANTIM SBD - SOBRAL CE
MGALBA,ALBA LTDA,SUB ALBA LTDA MG
MGCCGG,CORRENTE GR G,SUB CORRENTE GRANDE GUANHAES MG
MGCIAB,CIAB,SUB CIAB MG
MGECOS,ECOSTEEL,SUB ECOSTEEL MG
MGESPN,DER ESPINOSA,SUB PMF2 - DERIVACAO DO ALIMENTADOR 08F4 DA SE ESP MG
SPCVE,CASA VERDE,SUB CASA VERDE SP
MGFMMT,FORNO DE M,SUB FORNO DE MINAS MATRIZ MG
MTUHTP,TELES PIRES,USI TELES PIRES PA
MGGETR,GETR CONTAGEM,SUB GE TRANSPORTES RODOVIARIOS - CONTAGEM MG
MGKIPL,KIPLAC,SUB KIPLAC MG
MGKWHB,WHITE M BETIM,SUB WHITE MARTINS BETIM MG
MGLPAS,LOPAS LTDA,SUB LOPAS LTDA MG
MGLPSF,LOPAS FILIAL,SUB LOPAS - FILIAL MG
MGMBPF,M.B.PASTOR F,SUB MOVEIS BOM PASTOR FILIAL MG
MGMBPM,M.B. PASTOR M,SUB MOVEIS BOM PASTOR MATRIZ MG
MGPQGX,PASQUA JF GUA,SUB PASQUA JF - GUAXUPE MG
MGRBAV,RB ALIM VICOS,SUB RIO BRANCO ALIMENTOS - VICOSA MG
MGSHSL,SHOP 7 LAGOAS,SUB SHOPPING SETE LAGOAS MG
MGTCIL,TCIL MOVEIS,SUB TCIL MOVEIS MG
MGUFRL,CGH FARIA LEM,SUB CGH FARIA LEMOS MG
MTCAPL,CARGILL AGRIC,SUB CARGILL AGRICOLA - IMAVERA DO LESTE MT
MTPACU,PAO A. CUIABA,SUB PAO DE ACUCAR - CUIABA MT
MTSFA,SAO FELIX ARA,SUB SAO FELIX DO ARAGUAIA MT
MTUDIV,PCH DIVISA MT,USI PCH DIVISA MT MT
MTUILC,PCH ILHA COMP,USI PCH ILHA COMPRIDA MT MT
MTUJES,PCH JESUITA,USI PCH JESUITA MT MT
MTUSEG,PCH SEGREDO,USI PCH SEGREDO MT MT
PEROBR,ROCA BRASIL,SUB ROCA BRASIL PE
PEUNSP,UNI.SUAPE IPO,SUB UNILEVER SUAPE IPOJUCA PE
PEUSP2,UTE MC2 SUAPE,USI UTE MC2 SUAPE II B PE
PRPSCL,PCH STA CLARA,USI PCH SANTA CLARA PR
PRSHCT,SHOP. CATUAI,SUB SHOPPING CATUAI PR
PRYCTS,LT C.S. - PCH,SUB LT CANTEIRO SEGREDO - PCH FUNDAO - PCH SANTA C PR
RJCASB,CEA SHOP.BANG,SUB CEA SHOPPING BANGU RJ
RJCASN,CEA S.NOVA AM,SUB CEA SHOPPING NOVA AMERICA RJ
RJETNA,ESTACIO N AM,SUB ESTACIO - SHOPPING NOVA AMERICA RJ
RJETSM,ESTACIO S MAD,SUB ESTACIO - SHOPPING MADUREIRA RJ
RJPTCT,PETR CASTELO,SUB PETROBRAS CASTELO RJ
RNALPD,PETR ALTO PED,SUB PETROBRAS ALTO DA PEDRA RN
RNCBP,CABECO PRETO,SUB CABECO PRETO RN
RNJCM,JOAO CAMARA,SUB JOAO CAMARA RN
RSBRFS,BR FOODS S C,SUB BRASIL FOODS SERAFINA CORREA RS
RSBRTC,BR TELECOM,SUB BRASIL TELECOM RS
RSMLTT,"MELITTA 23,1","SUB MELITTA - 23,1 KV RS"
RSSEHF,SOPRANO E H,SUB SOPRANO ELETRIC E HIDRAULICA - FARROUPILHA RS
RSWEGR,WEG GRAVATAI,SUB WEG GRAVATAI RS
SCGLNX,GELNEX,SUB GELNEX SC
