eqp_id,age_id,descricao,instalacao_de,instalacao_para
ALZEBU0MXT-1BA,CHF,LT 69 kV ZEBU 138_69 / MOXOTO C 1 AL/BA,ALZEBU,BAMXT
AMAA--0AD--7,EPE,LT 69 kV APARECIDA / SE APARECIDA C 7 AM,AMAA,AMAD
AMAA--0AD--8,EPE,LT 69 kV APARECIDA / SE APARECIDA C 8 AM,AMAA,AMAD
AMAA--0AD--9,EPE,LT 69 kV APARECIDA / SE APARECIDA C 9 AM,AMAA,AMAD
AMAA--0CC--1,ME,LT 69 kV SE APARECIDA / CACHOEIRINHA C 1 AM,AMAD,AMCC
AMAA--0PN--1,ME,LT 69 kV SE APARECIDA / SE PONTA NEGRA C 1 AM,AMAD,AMPN
AMAA--0PS--1,ME,LT 69 kV SE APARECIDA / P DO ISMAEL C 1 AM,AMAD,AMPS
AMAA--0SG--1,ME,LT 69 kV SE APARECIDA / SERINGAL MIRIM C 1 AM,AMAD,AMSG
AMAZL-5SIL-1,MP1,LT 500 kV AZULAO / SILVES C 1 AM,AMAZL,AMITR
AMBA--2BE--1,G20,LT 230 kV BALBINA / SE BALBINA C 1 AM,AMBA,AMBE
AMBA--2BE--2,G20,LT 230 kV BALBINA / SE BALBINA C 2 AM,AMBA,AMBE
AMBA--2BE--3,G20,LT 230 kV BALBINA / SE BALBINA C 3 AM,AMBA,AMBE
AMBA--2BE--4,G20,LT 230 kV BALBINA / SE BALBINA C 4 AM,AMBA,AMBE
AMBA--2BE--5,G20,LT 230 kV BALBINA / SE BALBINA C 5 AM,AMBA,AMBE
AMBA--2CR--1,SSA,LT 230 kV BALBINA / CRISTIANO ROCHA C 1 AM,AMBA,AMCR-1
AMBA--2CRR-1,G20,LT 230 kV BALBINA / LECHUGA C 1 AM,AMBA,AMCRR
AMBA--2MN--1,ME,LT 230 kV BALBINA / MANAUS C 1 AM,AMBA,AMMN
AMBA--2MN--2,ENT,LT 230 kV BALBINA / MANAUS C 2 AM,AMBA,AMMN
AMBE--2FG--1,G20,LT 230 kV SE BALBINA / PR.FIGUEIREDO C 1 AM,AMBE,AMFG
AMBE--2LEC-1,G20,LT 230 kV SE BALBINA / LECHUGA C 1 AM,AMBE,AMCRR
AMCC--0MR--1,ME,LT 69 kV CACHOEIRINHA / MARAPATA C 1 AM,AMCC,AMMR
AMCM--2MT--1,EPE,LT 230 kV UTE MAUA 3 / MAUA III C 1 AM,AMCM,AMMT
AMCM--2MT--2,EPE,LT 230 kV UTE MAUA 3 / MAUA III C 2 AM,AMCM,AMMT
AMCM--2MT--3,EPE,LT 230 kV UTE MAUA 3 / MAUA III C 3 AM,AMCM,AMMT
AMCR--2CRR-1,G20,LT 230 kV CRISTIANO ROCHA / LECHUGA C 1 AM,AMCR-1,AMCRR
AMCR--2FG--1,G20,LT 230 kV CRISTIANO ROCHA / PR.FIGUEIREDO C 1 AM,AMCR-1,AMFG
AMCR--2MN--1,ENT,LT 230 kV CRISTIANO ROCHA / MANAUS C 1 AM,AMCR-1,AMMN
AMCRR-2MN--1,G20,LT 230 kV LECHUGA / MANAUS C 1 AM,AMCRR,AMMN
AMCRR-2MN--2,G20,LT 230 kV LECHUGA / MANAUS C 2 AM,AMCRR,AMMN
AMDD--0CC--1,ME,LT 69 kV DISTRITO DOIS / CACHOEIRINHA C 1 AM,AMDD,AMCC
AMDD--0CC--2,ME,LT 69 kV DISTRITO DOIS / CACHOEIRINHA C 2 AM,AMDD,AMCC
AMDD--0DI--1,ME,LT 69 kV DISTRITO DOIS / D.INDUSTRIAL C 1 AM,AMDD,AMDI
AMDI--0CC--1,ME,LT 69 kV D.INDUSTRIAL / CACHOEIRINHA C 1 AM,AMDI,AMCC
AMDI--0CD--1,ME,LT 69 kV D.INDUSTRIAL / CIDADE NOVA C 1 AM,AMDI,AMCD
AMDT--1JT--1,AMD,LT 138 kV DISTRITO TRES / JORG.TEIXEIRA C 1 AM,AMDT,AMJTX
AMDT--1JT--2,AMD,LT 138 kV DISTRITO TRES / JORG.TEIXEIRA C 2 AM,AMDT,AMJTX
AMFG--2BA--1,G20,LT 230 kV BALBINA / PR.FIGUEIREDO C 1 AM,AMBA,AMFG
AMFL--0PN--1,ME,LT 69 kV FLORES / SE PONTA NEGRA C 1 AM,AMFL,AMPN
AMFL--0RE--1,ME,LT 69 kV FLORES / REDENCAO C 1 AM,AMFL,AMRE
AMFL--0RE--2,ME,LT 69 kV FLORES / REDENCAO C 2 AM,AMFL,AMRE
AMGE--0PN--1,JEF,LT 69 kV PONTA NEGRA / SE PONTA NEGRA C 1 AM,AMGE,AMPN
AMITR-5CRR-1,QVR,LT 500 kV SILVES / LECHUGA C 1 AM,AMITR,AMCRR
AMITR-5CRR-2,QVR,LT 500 kV SILVES / LECHUGA C 2 AM,AMITR,AMCRR
AMJA--0JQ--1,JEF,LT 69 kV UTE JARAQUI / SE JARAQUI C 1 AM,AMJA,AMJQ
AMJA--0JQ--2,JEF,LT 69 kV UTE JARAQUI / SE JARAQUI C 2 AM,AMJA,AMJQ
AMJA--0JQ--3,JEF,LT 69 kV UTE JARAQUI / SE JARAQUI C 3 AM,AMJA,AMJQ
AMJA--0JQ--4,JEF,LT 69 kV UTE JARAQUI / SE JARAQUI C 4 AM,AMJA,AMJQ
AMJP--0CD--1,ME,LT 69 kV CIDADE NOVA / JOAO PAULO C 1 AM,AMCD,AMJP
AMJP--0JA--1,ME,LT 69 kV JOAO PAULO / UTE JARAQUI C 1 AM,AMJP,AMJA
AMJP--0SO--1,ME,LT 69 kV JOAO PAULO / SANTO ANTONIO C 1 AM,AMJP,AMSO
AMJP--1SE--1,ME,LT 138 kV JOAO PAULO / ST ETELVINA C 1 AM,AMJP,AMSE
AMJP--1SE--2,ME,LT 138 kV JOAO PAULO / ST ETELVINA C 2 AM,AMJP,AMSE
AMJQ--0JP--1,AMZ,LT 69 kV SE JARAQUI / JOAO PAULO C 1 AM,AMJQ,AMJP
AMJT--1LEC-1,ENT,LT 138 kV JORG.TEIXEIRA / LECHUGA C 1 AM,AMJTX,AMCRR
AMJTX-2CRR-1,ENT,LT 230 kV JORG.TEIXEIRA / LECHUGA C 1 AM,AMJTX,AMCRR
AMJTX-2CRR-2,ENT,LT 230 kV JORG.TEIXEIRA / LECHUGA C 2 AM,AMJTX,AMCRR
AMJTX-2CRR-3,ENT,LT 230 kV JORG.TEIXEIRA / LECHUGA C 3 AM,AMJTX,AMCRR
AMJTX-2MT--1,G20,LT 230 kV JORG.TEIXEIRA / MAUA III C 1 AM,AMJTX,AMMT
AMJTX-2MT--2,G20,LT 230 kV JORG.TEIXEIRA / MAUA III C 2 AM,AMJTX,AMMT
AMLEC-1JP--1,ME,LT 138 kV JOAO PAULO / LECHUGA C 1 AM,AMJP,AMCRR
AMLEC-1JP--2,ME,LT 138 kV JOAO PAULO / LECHUGA C 2 AM,AMJP,AMCRR
AMLEC-2TRM-1,G20,LT 230 kV LECHUGA / TARUMA C 1 AM,AMCRR,AMTRM
AMLEC-2TRM-2,G20,LT 230 kV LECHUGA / TARUMA C 2 AM,AMCRR,AMTRM
AMMA--0CD--1,ME,LT 69 kV PIRARUCU / CIDADE NOVA C 1 AM,AMMA,AMCD
AMMA--0JP--1,ME,LT 69 kV PIRARUCU / JOAO PAULO C 1 AM,AMMA,AMJP
AMMG--0DI--1,ME,LT 69 kV MAUA GERAL / D.INDUSTRIAL C 1 AM,AMMG,AMDI
AMMN--0CC--1,ME,LT 69 kV MANAUS / CACHOEIRINHA C 1 AM,AMMN,AMCC
AMMN--0CC--2,ME,LT 69 kV MANAUS / CACHOEIRINHA C 2 AM,AMMN,AMCC
